QUOTE,LIKES,AUTHOR,TITLE,TAGS,processed_quote,original_quote,topic,topic_prob,sentiment_label,sentiment_score,sentiment_value,primary_emotion,emotion_score
When two people were in love you had to leave them to it. Especially when you weren't in love and wished that you were. That could embarrass. That could hurt.,50,Irvine Welsh,Ecstasy,,two people love leave especially love wished embarrass hurt,When two people were in love you had to leave them to it. Especially when you weren't in love and wished that you were. That could embarrass. That could hurt.,-1,0.0,NEGATIVE,0.9944361448287964,-0.9944361448287964,disappointment,0.15645404160022736
"Do people always fall in love with things they can't have?'
'Always,' Carol said, smiling, too.",257,Patricia Highsmith,The Price of Salt,"['forbidden-love', 'impossible-love', 'in-love', 'lesbian', 'love', 'patricia-highsmith', 'starcrossed-lovers', 'the-price-of-salt', 'unrequited-love']",people always fall love things can't ' 'always ' carol smiling,"Do people always fall in love with things they can't have?'
'Always,' Carol said, smiling, too.",-1,0.0,POSITIVE,0.9997643828392029,0.9997643828392029,caring,0.10833615809679031
"The main thing about ghosts – most of them have lost their voices. In Asphodel, millions of them wander around aimlessly, trying to remember who they were. You know why they end up like that? Because in life they never took a stand one way or another. They never spoke out, so they were never heard. Your voice is your identity. If you don’t use it,’ Nico said with a shrug, ‘you’re halfway to Asphodel already.’
…
He hated when his own advice applied to himself.",73,Rick Riordan,The Blood of Olympus,"['ghosts', 'wisdom']",main thing ghosts lost voices asphodel millions wander around aimlessly trying remember know end life never took stand one way another never spoke never heard voice identity use nico shrug halfway asphodel already hated advice applied,"The main thing about ghosts – most of them have lost their voices. In Asphodel, millions of them wander around aimlessly, trying to remember who they were. You know why they end up like that? Because in life they never took a stand one way or another. They never spoke out, so they were never heard. Your voice is your identity. If you don’t use it,’ Nico said with a shrug, ‘you’re halfway to Asphodel already.’
…
He hated when his own advice applied to himself.",-1,0.0,NEGATIVE,0.9978609681129456,-0.9978609681129456,disappointment,0.15844546258449554
"Once I saw Desjardins’ house, I hated him even more. It was a huge mansion on the other side of the Tuileries, on the rue des Pyramids.
“Pyramids Road?” Sadie said. “Obvious, much?”
“Maybe he couldn’t find a place on Stupid Evil Magician Street,” I suggested.",141,Rick Riordan,The Red Pyramid,,saw desjardins house hated even huge mansion side tuileries rue des pyramids pyramids road sadie obvious much maybe find place stupid evil magician street suggested,"Once I saw Desjardins’ house, I hated him even more. It was a huge mansion on the other side of the Tuileries, on the rue des Pyramids.
“Pyramids Road?” Sadie said. “Obvious, much?”
“Maybe he couldn’t find a place on Stupid Evil Magician Street,” I suggested.",-1,0.0,NEGATIVE,0.9987131357192993,-0.9987131357192993,disapproval,0.21100309491157532
"Tell me what you want, what you really, really want,"" he said.
""Braiiinnnnssss,"" we said in unison.",77,Maureen Johnson,The Name of the Star,['zombie-spice-girls'],tell want really really want braiiinnnnssss unison,"Tell me what you want, what you really, really want,"" he said.
""Braiiinnnnssss,"" we said in unison.",0,1.0,POSITIVE,0.5762375593185425,0.5762375593185425,desire,0.20754973590373993
"I know what you want, and you don't need to take it. I can give it to you.",59,Krista Ritchie,Addicted to You,,know want take give,"I know what you want, and you don't need to take it. I can give it to you.",-1,0.0,POSITIVE,0.9997881054878235,0.9997881054878235,desire,0.2752401828765869
"It is our suffering that brings us together. It is not love. Love does not obey the mind, and turns to hate when forced. The bond that binds us is beyond choice. We are brothers. We are brothers in what we share. In pain, which each of us must suffer alone, in hunger, in poverty, in hope, we know our brotherhood. We know it, because we have had to learn it. We know that there is no help for us but from one another, that no hand will save us if we do not reach out our hand. And the hand that you reach out is empty, as mine is. You have nothing. You possess nothing. You own nothing. You are free. All you have is what you are, and what you give.",379,Ursula K. Le Guin,The Dispossessed,[],suffering brings us together love love obey mind turns hate forced bond binds us beyond choice brothers brothers share pain us suffer alone hunger poverty hope know brotherhood know learn know help us one another hand save us reach hand hand reach empty mine nothing possess nothing nothing free give,"It is our suffering that brings us together. It is not love. Love does not obey the mind, and turns to hate when forced. The bond that binds us is beyond choice. We are brothers. We are brothers in what we share. In pain, which each of us must suffer alone, in hunger, in poverty, in hope, we know our brotherhood. We know it, because we have had to learn it. We know that there is no help for us but from one another, that no hand will save us if we do not reach out our hand. And the hand that you reach out is empty, as mine is. You have nothing. You possess nothing. You own nothing. You are free. All you have is what you are, and what you give.",-1,0.0,POSITIVE,0.8668411374092102,0.8668411374092102,sadness,0.18448102474212646
"So as long as you can forget your body you are happy and the moment you begin to be aware of your body, you are wretched. So if civilization is any good, it has to help us forget our bodies, and then time passes happily without our knowing it. Help us get rid of our bodies altogether.",50,D.H. Lawrence,Lady Chatterley's Lover,,long forget body happy moment begin aware body wretched civilization good help us forget bodies time passes happily without knowing help us get rid bodies altogether,"So as long as you can forget your body you are happy and the moment you begin to be aware of your body, you are wretched. So if civilization is any good, it has to help us forget our bodies, and then time passes happily without our knowing it. Help us get rid of our bodies altogether.",-1,0.0,NEGATIVE,0.9989017248153687,-0.9989017248153687,realization,0.11070337146520615
"Hey, Ocean Eyes,” my father said. “Where’d you go on us?",73,Alice Sebold,The Lovely Bones,['ocean-eyes'],hey ocean eyes father go us,"Hey, Ocean Eyes,” my father said. “Where’d you go on us?",1,1.0,POSITIVE,0.999123752117157,0.999123752117157,curiosity,0.1642981618642807
"I was scared. Do you know what it's like to hold someone else's life in
your hands? It's like playing God. Can you think of anything scarier than
that?",62,Sidney Sheldon,Rage of Angels,,scared know hold someone else's life hands playing god think anything scarier,"I was scared. Do you know what it's like to hold someone else's life in
your hands? It's like playing God. Can you think of anything scarier than
that?",0,1.0,NEGATIVE,0.9823493361473083,-0.9823493361473083,fear,0.330831915140152
"Me neither,” Shane put in. “Homie don’t play that.”
“I wonder, sometimes, if your generation speaks English at all,” Amelie said.",121,Rachel Caine,Fade Out,"['funny', 'language', 'morganville-vampires', 'shane-collins']",neither shane put homie play wonder sometimes generation speaks english amelie,"Me neither,” Shane put in. “Homie don’t play that.”
“I wonder, sometimes, if your generation speaks English at all,” Amelie said.",0,0.7357559923772777,NEGATIVE,0.9662888050079346,-0.9662888050079346,curiosity,0.14756062626838684
"There are a lot of people who will give money or materials, but very few who will give time and affection.",185,Daniel Keyes,Flowers for Algernon,,lot people give money materials give time affection,"There are a lot of people who will give money or materials, but very few who will give time and affection.",-1,0.0,POSITIVE,0.5292074680328369,0.5292074680328369,caring,0.14124682545661926
I am constantly torn between killing myself and killing everyone around me.,3417,David Levithan,"Will Grayson, Will Grayson",['suicide'],constantly torn killing killing everyone around,I am constantly torn between killing myself and killing everyone around me.,-1,0.0,NEGATIVE,0.9919816851615906,-0.9919816851615906,confusion,0.2600173056125641
"It is better to be small, colorful, sexy, careless, and peaceful...",137,Tom Robbins,Jitterbug Perfume,,better small colorful sexy careless peaceful,"It is better to be small, colorful, sexy, careless, and peaceful...",-1,0.0,POSITIVE,0.986850917339325,0.986850917339325,desire,0.18762235343456268
"That’s the nice thing about dreams, the way you wake up before you fall.",168,Marya Hornbacher,Wasted: A Memoir of Anorexia and Bulimia,,nice thing dreams way wake fall,"That’s the nice thing about dreams, the way you wake up before you fall.",0,0.7073291532058162,POSITIVE,0.9996253252029419,0.9996253252029419,caring,0.17155656218528748
"How marvelous books are, crossing worlds and centuries, defeating ignorance and, finally, cruel time itself.",2121,Gore Vidal,Julian,,marvelous books crossing worlds centuries defeating ignorance finally cruel time,"How marvelous books are, crossing worlds and centuries, defeating ignorance and, finally, cruel time itself.",0,1.0,POSITIVE,0.9995530247688293,0.9995530247688293,realization,0.14323601126670837
"I write because I am alone and move through the world alone. No one will know what has passed through me... I write because there are stories that people have forgotten to tell, because I am a woman trying to stand up in my life... I write out of hurt and how to make hurt okay; how to make myself strong and come home, and it may be the only real home I'll ever have.",78,Natalie Goldberg,Writing Down the Bones: Freeing the Writer Within,['writing'],write alone move world alone one know passed write stories people forgotten tell woman trying stand life write hurt make hurt okay make strong come home real home ever,"I write because I am alone and move through the world alone. No one will know what has passed through me... I write because there are stories that people have forgotten to tell, because I am a woman trying to stand up in my life... I write out of hurt and how to make hurt okay; how to make myself strong and come home, and it may be the only real home I'll ever have.",0,0.8389433788487205,NEGATIVE,0.9615287780761719,-0.9615287780761719,sadness,0.14348481595516205
"Fuck, Avery. You think I don't want you? There's not a single part of you that I don't want, you understand? I want to be on you and inside of you. I want you against the wall, on the couch, in your bed, in my bed, and every fucking place I can possibly think of, and trust me, I have a vast imagination when it comes to these kinds of things. Don't ever doubt that I want you. That is not what this is about.",238,Jennifer L. Armentrout,Wait for You,,fuck avery think want there's single part want understand want inside want wall couch bed bed every fucking place possibly think trust vast imagination comes kinds things ever doubt want,"Fuck, Avery. You think I don't want you? There's not a single part of you that I don't want, you understand? I want to be on you and inside of you. I want you against the wall, on the couch, in your bed, in my bed, and every fucking place I can possibly think of, and trust me, I have a vast imagination when it comes to these kinds of things. Don't ever doubt that I want you. That is not what this is about.",-1,0.0,POSITIVE,0.9976710677146912,0.9976710677146912,desire,0.23436689376831055
"This was a few weeks ago,"" Annabeth said. ""Percy told me a crazy story about meeting a boy our near Moriches Bay. Apparently this kid used hieroglyphs to cast spells. He helped Percy battle a crocodile monsters.""
""The Sob of Sobek!"" Sadie blurted. ""But my 
 battled that monster. He didn't say anything about-""
""Is your brother's name Carter?"" Annabeth asked.
An angry golden aura flickered around Sadie's head-a halo of hieroglyphs that resembled frowns, fists, and dead stick men.
""As of this moment,"" Sadie growled, ""My brother's name is Punching Bag.",51,Rick Riordan,The Staff of Serapis,"['carter-kane', 'heroes-of-olympus', 'humor', 'percy-jackson', 'sadie-kane', 'the-kane-chronicles', 'the-son-of-sobek', 'the-staff-of-serapis']",weeks ago annabeth percy told crazy story meeting boy near moriches bay apparently kid used hieroglyphs cast spells helped percy battle crocodile monsters sob sobek sadie blurted battled monster anything brother's name carter annabeth asked angry golden aura flickered around sadie's head halo hieroglyphs resembled frowns fists dead stick men moment sadie growled brother's name punching bag,"This was a few weeks ago,"" Annabeth said. ""Percy told me a crazy story about meeting a boy our near Moriches Bay. Apparently this kid used hieroglyphs to cast spells. He helped Percy battle a crocodile monsters.""
""The Sob of Sobek!"" Sadie blurted. ""But my 
 battled that monster. He didn't say anything about-""
""Is your brother's name Carter?"" Annabeth asked.
An angry golden aura flickered around Sadie's head-a halo of hieroglyphs that resembled frowns, fists, and dead stick men.
""As of this moment,"" Sadie growled, ""My brother's name is Punching Bag.",0,0.7020187110169245,POSITIVE,0.7085412740707397,0.7085412740707397,anger,0.26940855383872986
But I know loving someone means losing a part of myself.,161,Simone Elkeles,Perfect Chemistry,,know loving someone means losing part,But I know loving someone means losing a part of myself.,0,0.8396110884964337,NEGATIVE,0.9985731840133667,-0.9985731840133667,realization,0.1880953013896942
"On the drive we talked easily, but we did make a small detour. After pulling into a rest stop, we made out like teenagers.",126,Nicholas Sparks,Dear John,,drive talked easily make small detour pulling rest stop made teenagers,"On the drive we talked easily, but we did make a small detour. After pulling into a rest stop, we made out like teenagers.",0,0.7341425225725495,POSITIVE,0.9068873524665833,0.9068873524665833,curiosity,0.08551248908042908
"Truth has power. And if we all gravitate toward similar ideas, maybe we do so because those ideas are true...written deep within us. And when we hear the truth, even if we don't understand it, we feel that truth resonate within us...vibrating with our unconscious wisdom. Perhaps the truth is not learned by us, but rather, the truth is re-called...re-membered...-re-cognized...as that which is already inside us.",122,Dan Brown,The Lost Symbol,[],truth power gravitate toward similar ideas maybe ideas true written deep within us hear truth even understand feel truth resonate within us vibrating unconscious wisdom perhaps truth learned us rather truth called membered cognized already inside us,"Truth has power. And if we all gravitate toward similar ideas, maybe we do so because those ideas are true...written deep within us. And when we hear the truth, even if we don't understand it, we feel that truth resonate within us...vibrating with our unconscious wisdom. Perhaps the truth is not learned by us, but rather, the truth is re-called...re-membered...-re-cognized...as that which is already inside us.",0,0.3088216339416639,POSITIVE,0.9929628968238831,0.9929628968238831,realization,0.22181878983974457
I never saw a wild thing sorry for itself. A small bird will drop frozen dead from a bough without ever having felt sorry for itself.,903,D.H. Lawrence,The Complete Poems,['self-pity'],never saw wild thing sorry small bird drop frozen dead bough without ever felt sorry,I never saw a wild thing sorry for itself. A small bird will drop frozen dead from a bough without ever having felt sorry for itself.,0,0.7833120102444388,NEGATIVE,0.9318970441818237,-0.9318970441818237,neutral,0.10706056654453278
Her imagination was by habit ridiculously active; when the door was not open it jumped out the window.,63,Henry James,The Portrait of a Lady,,imagination habit ridiculously active door open jumped window,Her imagination was by habit ridiculously active; when the door was not open it jumped out the window.,0,1.0,NEGATIVE,0.9971646666526794,-0.9971646666526794,excitement,0.31012770533561707
"You don't get it, Clary. You don't understand what it's like to live always at war, to grow up with battle and sacrifice. I guess it's not your fault. It's just how you were brought up-",148,Cassandra Clare,City of Glass,"['city-of-glass', 'isabelle-lightwood', 'life', 'mortal-instruments', 'sacrifice', 'war']",get clary understand live always war grow battle sacrifice guess fault brought,"You don't get it, Clary. You don't understand what it's like to live always at war, to grow up with battle and sacrifice. I guess it's not your fault. It's just how you were brought up-",0,1.0,NEGATIVE,0.9862057566642761,-0.9862057566642761,confusion,0.34712666273117065
"I find myself fascinated by a man who admits to enjoying fairy tales and uses the word ""impinge""- barely misses a beat while indulging in a brief girl-on-girl fantasy. You're a man of layers, Ford.""
Me and Shrek, we're onions.",64,Nora Roberts,Tribute,[],find fascinated man admits enjoying fairy tales uses word impinge barely misses beat indulging brief girl girl fantasy man layers ford shrek onions,"I find myself fascinated by a man who admits to enjoying fairy tales and uses the word ""impinge""- barely misses a beat while indulging in a brief girl-on-girl fantasy. You're a man of layers, Ford.""
Me and Shrek, we're onions.",0,0.5915232790620764,POSITIVE,0.9985519051551819,0.9985519051551819,curiosity,0.3009102940559387
"We are so used to releasing words, we don't know what to do with them if they stay. No matter how many times we let them go, they come back. The words that matter always stay.",200,David Levithan,The Realm of Possibility,['realm-of-possibility'],used releasing words know stay matter many times let go come back words matter always stay,"We are so used to releasing words, we don't know what to do with them if they stay. No matter how many times we let them go, they come back. The words that matter always stay.",-1,0.0,POSITIVE,0.9869567155838013,0.9869567155838013,confusion,0.20857995748519897
"Hey, what are you doing, little one? You want more? You are just too much . . . you . . . oh, no . . . not the quivering lip . . . oh, no.” Nalla let out a giggle. 
“Outrageous! You want more, and you know you’re going to get what you want because of The Lip. Jeez, you’ve got your father wrapped around your little finger, don’t you.",81,J.R. Ward,Father Mine,,hey little one want much oh quivering lip oh nalla let giggle outrageous want know going get want lip jeez got father wrapped around little finger,"Hey, what are you doing, little one? You want more? You are just too much . . . you . . . oh, no . . . not the quivering lip . . . oh, no.” Nalla let out a giggle. 
“Outrageous! You want more, and you know you’re going to get what you want because of The Lip. Jeez, you’ve got your father wrapped around your little finger, don’t you.",-1,0.0,NEGATIVE,0.71563321352005,-0.71563321352005,confusion,0.1430436372756958
"I am Cersei of House Lannister, a lion of the Rock, the rightful queen of these Seven Kingdoms, trueborn daughter of Tywin Lannister. And hair grows back.",221,George R.R. Martin,A Dance with Dragons,"['cersei-rocks', 'lannister-pride']",cersei house lannister lion rock rightful queen seven kingdoms trueborn daughter tywin lannister hair grows back,"I am Cersei of House Lannister, a lion of the Rock, the rightful queen of these Seven Kingdoms, trueborn daughter of Tywin Lannister. And hair grows back.",0,1.0,POSITIVE,0.9920220375061035,0.9920220375061035,pride,0.15215207636356354
"Out, out, brief candle! Life's but a walking shadow, a poor player that struts and frets his hour upon the stage and is heard no more. It is a tale told by an idiot, full of sound and fury, signifying nothing.",397,William Shakespeare,Macbeth,,brief candle life's walking shadow poor player struts frets hour upon stage heard tale told idiot full sound fury signifying nothing,"Out, out, brief candle! Life's but a walking shadow, a poor player that struts and frets his hour upon the stage and is heard no more. It is a tale told by an idiot, full of sound and fury, signifying nothing.",-1,0.0,NEGATIVE,0.9987385869026184,-0.9987385869026184,disappointment,0.1848863959312439
"I miss you terribly sometimes, but in general I go on living with all the energy I can muster. Just as you take care of the birds and the fields every morning, every morning I wind my own spring. I give it some 36 good twists by the time I've got up, brushed my teeth, shaved, eaten breakfast, changed my clothes, left the dorm, and arrived at the university. I tell myself, ""OK, let's make this day another good one."" I hadn't noticed before, but they tell me I talk to myself a lot these days. Probably mumbling to myself while I wind my spring.",85,Haruki Murakami,Norwegian Wood,,miss terribly sometimes general go living energy muster take care birds fields every morning every morning wind spring give 36 good twists time got brushed teeth shaved eaten breakfast changed clothes left dorm arrived university tell ok let's make day another good one noticed tell talk lot days probably mumbling wind spring,"I miss you terribly sometimes, but in general I go on living with all the energy I can muster. Just as you take care of the birds and the fields every morning, every morning I wind my own spring. I give it some 36 good twists by the time I've got up, brushed my teeth, shaved, eaten breakfast, changed my clothes, left the dorm, and arrived at the university. I tell myself, ""OK, let's make this day another good one."" I hadn't noticed before, but they tell me I talk to myself a lot these days. Probably mumbling to myself while I wind my spring.",-1,0.0,POSITIVE,0.998988687992096,0.998988687992096,caring,0.1453246772289276
"Nothing is more important than that you see and love the beauty that is right in front of you, or else you will have no defense against the ugliness that will hem you in and come at you in so many ways.",111,Neal Stephenson,Anathem,['ugliness'],nothing important see love beauty right front else defense ugliness hem come many ways,"Nothing is more important than that you see and love the beauty that is right in front of you, or else you will have no defense against the ugliness that will hem you in and come at you in so many ways.",0,0.9608652135587976,POSITIVE,0.9985833168029785,0.9985833168029785,realization,0.10799389332532883
"These were everyday sounds magnified by darkness. And darkness was nothing - it was not a substance, it was not a presence, it was no more than an absence of light.",82,Ian McEwan,Atonement,,everyday sounds magnified darkness darkness nothing substance presence absence light,"These were everyday sounds magnified by darkness. And darkness was nothing - it was not a substance, it was not a presence, it was no more than an absence of light.",0,0.912948106601596,NEGATIVE,0.9982447624206543,-0.9982447624206543,confusion,0.12191058695316315
"See what you want, Aelin, and seize it. Don't ask for it; don't wish for it. Take it.",71,Sarah J. Maas,Heir of Fire,,see want aelin seize ask wish take,"See what you want, Aelin, and seize it. Don't ask for it; don't wish for it. Take it.",0,1.0,POSITIVE,0.9992513060569763,0.9992513060569763,desire,0.16089867055416107
"On the day of the dead, when the year too dies,
Must the youngest open the oldest hills
Through the door of the birds, where the breeze breaks.
There fire shall fly from the raven boy,
And the silver eyes that see the wind,
And the light shall have the harp of gold.
By the pleasant lake the Sleepers lie,
On Cadfan’s Way where the kestrels call;
Though grim from the Grey King shadows fall,
Yet singing the golden harp shall guide
To break their sleep and bid them ride.
When light from the lost land shall return,
Six Sleepers shall ride, six Signs shall burn,
And where the midsummer tree grows tall
By Pendragon’s sword the Dark shall fall.
Y maent yr mynyddoedd yn canu,
ac y mae’r arglwyddes yn dod.",117,Susan Cooper,The Dark Is Rising Sequence,,day dead year dies youngest open oldest hills door birds breeze breaks fire shall fly raven boy silver eyes see wind light shall harp gold pleasant lake sleepers lie cadfan way kestrels call though grim grey king shadows fall yet singing golden harp shall guide break sleep bid ride light lost land shall return six sleepers shall ride six signs shall burn midsummer tree grows tall pendragon sword dark shall fall maent yr mynyddoedd yn canu ac mae r arglwyddes yn dod,"On the day of the dead, when the year too dies,
Must the youngest open the oldest hills
Through the door of the birds, where the breeze breaks.
There fire shall fly from the raven boy,
And the silver eyes that see the wind,
And the light shall have the harp of gold.
By the pleasant lake the Sleepers lie,
On Cadfan’s Way where the kestrels call;
Though grim from the Grey King shadows fall,
Yet singing the golden harp shall guide
To break their sleep and bid them ride.
When light from the lost land shall return,
Six Sleepers shall ride, six Signs shall burn,
And where the midsummer tree grows tall
By Pendragon’s sword the Dark shall fall.
Y maent yr mynyddoedd yn canu,
ac y mae’r arglwyddes yn dod.",-1,0.0,POSITIVE,0.9459699392318726,0.9459699392318726,approval,0.08136432617902756
"Men's lives have meaning, not their deaths.",101,George R.R. Martin,A Dance with Dragons,['life'],men's lives meaning deaths,"Men's lives have meaning, not their deaths.",-1,0.0,NEGATIVE,0.6606611609458923,-0.6606611609458923,realization,0.32635697722435
"Although now long estranged,
Man is not wholly lost nor wholly changed.
Dis-graced he may be, yet is not de-throned,
and keeps the rags of lordship once he owned:
Man, Sub-creator, the refracted Light
through whom is splintered from a single White
to many hues, and endlessly combined
in living shapes that move from mind to mind.
Though all the crannies of the world we filled
with Elves and Goblins, though we dared to build
Gods and their houses out of dark and light,
and sowed the seed of dragons- 'twas our right
(used or misused). That right has not decayed:
we make still by the law in which we're made.
Fantasy remains a human right: we make in our measure and in our derivative mode, because we are made: and not only made, but made in the image and likeness of a Maker.",73,J.R.R. Tolkien,Tolkien on Fairy-stories,['sub-creation'],although long estranged man wholly lost wholly changed dis graced yet de throned keeps rags lordship owned man sub creator refracted light splintered single white many hues endlessly combined living shapes move mind mind though crannies world filled elves goblins though dared build gods houses dark light sowed seed dragons 'twas right used misused right decayed make still law made fantasy remains human right make measure derivative mode made made made image likeness maker,"Although now long estranged,
Man is not wholly lost nor wholly changed.
Dis-graced he may be, yet is not de-throned,
and keeps the rags of lordship once he owned:
Man, Sub-creator, the refracted Light
through whom is splintered from a single White
to many hues, and endlessly combined
in living shapes that move from mind to mind.
Though all the crannies of the world we filled
with Elves and Goblins, though we dared to build
Gods and their houses out of dark and light,
and sowed the seed of dragons- 'twas our right
(used or misused). That right has not decayed:
we make still by the law in which we're made.
Fantasy remains a human right: we make in our measure and in our derivative mode, because we are made: and not only made, but made in the image and likeness of a Maker.",-1,0.0,POSITIVE,0.9900169968605042,0.9900169968605042,confusion,0.07303256541490555
"Those who talk most about the blessings of marriage and the constancy of its vows are the very people who declare that if the chain were broken and the prisoners left free to choose, the whole social fabric would fly asunder. You cannot have the argument both ways. If the prisoner is happy, why lock him in? If he is not, why pretend that he is?",50,George Bernard Shaw,Man and Superman,[],talk blessings marriage constancy vows people declare chain broken prisoners left free choose whole social fabric fly asunder cannot argument ways prisoner happy lock pretend,"Those who talk most about the blessings of marriage and the constancy of its vows are the very people who declare that if the chain were broken and the prisoners left free to choose, the whole social fabric would fly asunder. You cannot have the argument both ways. If the prisoner is happy, why lock him in? If he is not, why pretend that he is?",0,0.8826284356790647,NEGATIVE,0.9974544644355774,-0.9974544644355774,confusion,0.14846178889274597
"The world is always changing brightness and hotness and soundness, I never know how it's going to be the next minute.",62,Emma Donoghue,Room,,world always changing brightness hotness soundness never know going next minute,"The world is always changing brightness and hotness and soundness, I never know how it's going to be the next minute.",-1,0.0,POSITIVE,0.9979066848754883,0.9979066848754883,surprise,0.11692431569099426
Even nothing cannot last forever.,1052,Neil Gaiman,American Gods,,even nothing cannot last forever,Even nothing cannot last forever.,-1,0.0,POSITIVE,0.9864896535873413,0.9864896535873413,realization,0.21457813680171967
"You want to cry aloud for your
 mistakes. But to tell the truth the world
 doesn’t need anymore of that sound.
So if you’re going to do it and can’t
 stop yourself, if your pretty mouth can’t
 hold it in, at least go by yourself across
the forty fields and the forty dark inclines
 of rocks and water to the place where
 the falls are flinging out their white sheets
like crazy, and there is a cave behind all that
 jubilation and water fun and you can
 stand there, under it, and roar all you
want and nothing will be disturbed; you can
 drip with despair all afternoon and still,
 on a green branch, its wings just lightly touched
by the passing foil of the water, the thrush,
 puffing out its spotted breast, will sing
 of the perfect, stone-hard beauty of everything.",488,Mary Oliver,"New and Selected Poems, Vol. 2",[],want cry aloud mistakes tell truth world anymore sound going stop pretty mouth hold least go across forty fields forty dark inclines rocks water place falls flinging white sheets crazy cave behind jubilation water fun stand roar want nothing disturbed drip despair afternoon still green branch wings lightly touched passing foil water thrush puffing spotted breast sing perfect stone hard beauty everything,"You want to cry aloud for your
 mistakes. But to tell the truth the world
 doesn’t need anymore of that sound.
So if you’re going to do it and can’t
 stop yourself, if your pretty mouth can’t
 hold it in, at least go by yourself across
the forty fields and the forty dark inclines
 of rocks and water to the place where
 the falls are flinging out their white sheets
like crazy, and there is a cave behind all that
 jubilation and water fun and you can
 stand there, under it, and roar all you
want and nothing will be disturbed; you can
 drip with despair all afternoon and still,
 on a green branch, its wings just lightly touched
by the passing foil of the water, the thrush,
 puffing out its spotted breast, will sing
 of the perfect, stone-hard beauty of everything.",-1,0.0,POSITIVE,0.9976800084114075,0.9976800084114075,sadness,0.1788824498653412
"God cannot take sides; for He is in all of us. We are all a part of Him, and when we try to destroy Him, we destroy ourselves.",101,Sidney Sheldon,The Sands of Time,,god cannot take sides us part try destroy destroy,"God cannot take sides; for He is in all of us. We are all a part of Him, and when we try to destroy Him, we destroy ourselves.",-1,0.0,NEGATIVE,0.9404855370521545,-0.9404855370521545,confusion,0.07781705260276794
They spoke less and less between them until at last they were silent altogether as is often the way with travelers approaching the end of a journey.,69,Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West",['travel'],spoke less less last silent altogether often way travelers approaching end journey,They spoke less and less between them until at last they were silent altogether as is often the way with travelers approaching the end of a journey.,0,0.9071010872356748,NEGATIVE,0.9922663569450378,-0.9922663569450378,annoyance,0.089879609644413
I don't think you should die until you're ready. Until you've wrung out every last bit of living you can.,166,Libba Bray,Going Bovine,[],think die ready wrung every last bit living,I don't think you should die until you're ready. Until you've wrung out every last bit of living you can.,-1,0.0,NEGATIVE,0.998044490814209,-0.998044490814209,realization,0.14176765084266663
"Everyone had told her, since she became a princess-in-training, that she was very likely the most beautiful woman in the world. Now she was going to be the richest and the most powerful as well.
Don't expect too much from life, Buttercup told herself as she rode along. Learn to be satisfied with what you have.",90,William Goldman,The Princess Bride,,everyone told since became princess training likely beautiful woman world going richest powerful well expect much life buttercup told rode along learn satisfied,"Everyone had told her, since she became a princess-in-training, that she was very likely the most beautiful woman in the world. Now she was going to be the richest and the most powerful as well.
Don't expect too much from life, Buttercup told herself as she rode along. Learn to be satisfied with what you have.",-1,0.0,POSITIVE,0.9997383952140808,0.9997383952140808,approval,0.12455142289400101
"If I were reading a book and happened to strike a wonderful passage I would close the book then and there and go for a walk. I hated the thought of coming to the end of a good book. I would tease it along, delay the inevitable as long as possible, But always, when I hit a great passage, I would stop reading immediately. Out I would go, rain, hail, snow or ice, and chew the cud.",178,Henry Miller,Plexus,,reading book happened strike wonderful passage close book go walk hated thought coming end good book tease along delay inevitable long possible always hit great passage stop reading immediately go rain hail snow ice chew cud,"If I were reading a book and happened to strike a wonderful passage I would close the book then and there and go for a walk. I hated the thought of coming to the end of a good book. I would tease it along, delay the inevitable as long as possible, But always, when I hit a great passage, I would stop reading immediately. Out I would go, rain, hail, snow or ice, and chew the cud.",0,1.0,NEGATIVE,0.9972544312477112,-0.9972544312477112,annoyance,0.18730884790420532
Choices will continually be necessary and -- let us not forget -- possible. Obedience to God is always possible. It is a deadly error to fall into the notion that when feelings are extremely strong we can do nothing but act on them.,112,Elisabeth Elliot,Discipline: The Glad Surrender,"['emotions', 'feelings', 'god', 'obedience', 'possible']",choices continually necessary let us forget possible obedience god always possible deadly error fall notion feelings extremely strong nothing act,Choices will continually be necessary and -- let us not forget -- possible. Obedience to God is always possible. It is a deadly error to fall into the notion that when feelings are extremely strong we can do nothing but act on them.,0,0.9695941401455218,NEGATIVE,0.992270827293396,-0.992270827293396,realization,0.12398148328065872
"He allowed himself to be swayed by his conviction that human beings are not born once and for all on the day their mothers give birth to them, but that life obliges them over and over again to give birth to themselves.",2355,Gabriel García Márquez,Love in the Time of Cholera,"['identity', 'life', 'self']",allowed swayed conviction human beings born day mothers give birth life obliges give birth,"He allowed himself to be swayed by his conviction that human beings are not born once and for all on the day their mothers give birth to them, but that life obliges them over and over again to give birth to themselves.",-1,0.0,POSITIVE,0.9967897534370422,0.9967897534370422,confusion,0.1610046774148941
I'd shut the whole world down just to tell you,136,Rob Sheffield,Love Is a Mix Tape,[],shut whole world tell,I'd shut the whole world down just to tell you,-1,0.0,NEGATIVE,0.9842628836631775,-0.9842628836631775,anger,0.11010624468326569
I will not know that day has come because I will not stop trying.,60,Brandon Mull,Rise of the Evening Star,[],know day come stop trying,I will not know that day has come because I will not stop trying.,-1,0.0,POSITIVE,0.9986351132392883,0.9986351132392883,confusion,0.14371474087238312
